Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
2005;year;    99.39;    99.72;   105.80;   115.59;    90.10;    91.84;    71.90;    71.89;    68.76;    81.63;    76.21;    83.23;   103.89;    92.31;    96.11;   101.06;    93.36;
2006;year;    86.96;    87.07;   103.16;   109.16;    88.98;    77.65;    77.38;    77.30;    75.08;    83.56;    72.21;    81.43;    94.31;    84.35;    88.99;    95.04;    89.79;
2007;year;    59.37;    59.73;    77.13;    87.27;    63.51;    44.22;    38.90;    38.84;    42.22;    52.29;    37.12;    47.23;    71.46;    57.17;    64.10;    73.14;    61.20;
2008;year;    61.52;    61.82;   100.81;   105.50;    85.22;    56.87;    54.35;    54.20;    61.99;    77.79;    48.66;    77.15;    77.72;    63.58;    73.77;    87.07;    76.91;
2009;year;    85.64;    85.91;    95.44;   104.08;    82.24;    79.94;    69.18;    69.07;    68.18;    75.00;    63.56;    70.30;    93.14;    82.82;    87.74;    94.15;    84.75;
2010;year;   118.14;   118.36;   116.15;   123.74;   112.27;   114.91;   105.59;   105.60;    99.89;   104.61;   111.73;    97.36;   120.24;   112.75;   115.90;   120.00;   113.75;
2011;year;    82.53;    82.85;    90.95;   107.28;    83.54;    74.04;    67.06;    67.02;    61.21;    69.87;    67.49;    63.83;    93.00;    82.71;    88.34;    95.69;    83.31;
2012;year;    81.21;    81.41;    88.96;    98.97;    76.44;    75.49;    62.63;    62.61;    58.21;    65.98;    66.97;    62.80;    87.56;    76.24;    80.61;    86.31;    78.82;
2013;year;    96.32;    96.56;   107.40;   112.73;    97.75;    90.78;    87.07;    87.04;    82.44;    93.29;    89.17;    93.09;   107.43;    99.04;   103.56;   109.45;    98.66;
2014;year;    56.37;    56.75;    65.00;    77.52;    54.68;    47.88;    43.80;    43.74;    35.87;    41.58;    41.55;    38.33;    67.89;    58.48;    63.11;    69.15;    56.81;
2015;year;    69.69;    69.99;    95.88;   105.48;    76.16;    52.72;    45.63;    45.51;    51.66;    67.24;    39.61;    68.92;    81.39;    67.95;    77.13;    89.11;    73.65;
2016;year;    81.35;    81.67;    93.79;   101.46;    81.58;    75.31;    70.89;    70.89;    65.48;    71.19;    67.17;    72.86;    89.54;    79.56;    84.45;    90.83;    82.78;
2017;year;    75.18;    75.46;    95.75;   100.42;    78.41;    64.25;    52.92;    52.74;    56.08;    69.29;    49.06;    69.16;    83.90;    72.78;    78.45;    85.85;    76.17;
2018;year;    76.31;    76.67;    83.79;    94.70;    78.53;    69.99;    64.69;    64.60;    62.83;    68.23;    61.77;    62.20;    85.73;    75.56;    81.08;    88.28;    77.35;
2019;year;    62.08;    62.58;    89.20;    93.03;    72.62;    52.16;    50.07;    50.01;    54.30;    65.00;    48.80;    62.77;    76.32;    61.93;    70.39;    81.43;    69.74;
2020;year;    53.64;    54.00;    86.95;    97.70;    64.93;    39.96;    33.80;    33.65;    40.73;    51.11;    28.97;    52.64;    72.90;    53.57;    64.90;    79.69;    62.51;
2021;year;    85.15;    85.55;   105.63;   117.86;    91.20;    76.56;    64.85;    64.80;    68.32;    75.34;    68.28;    71.15;   101.20;    82.51;    92.58;   105.72;    89.36;
2022;year;    71.83;    72.17;    85.99;    95.94;    68.77;    63.13;    52.53;    52.39;    49.56;    57.82;    48.54;    59.42;    80.66;    69.57;    74.97;    82.02;    71.44;
2023;year;    64.90;    65.13;    75.15;    83.04;    63.15;    60.82;    53.07;    53.02;    49.81;    56.74;    54.02;    57.24;    71.16;    60.75;    65.21;    71.03;    65.49;
2024;year;    52.21;    52.39;    65.13;    69.33;    52.32;    43.18;    35.49;    35.42;    34.47;    44.26;    33.63;    44.22;    65.59;    49.35;    54.83;    61.99;    52.02;
2025;year;    82.11;    82.47;    93.81;   106.48;    79.80;    68.77;    69.50;    69.40;    63.11;    68.31;    59.02;    63.79;    94.05;    83.40;    87.94;    93.87;    82.90;
