Jahr;summer;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
2005;summer;    17.22;    17.20;    16.88;    16.53;    16.77;    16.63;    16.54;    16.55;    16.73;    17.22;    16.27;    17.61;    16.57;    17.14;    16.73;    16.21;    16.73;
2006;summer;    19.34;    19.32;    17.74;    17.41;    17.83;    18.55;    18.31;    18.32;    18.22;    18.28;    18.00;    18.68;    18.20;    18.85;    18.22;    17.42;    18.12;
2007;summer;    18.23;    18.21;    16.84;    16.89;    16.82;    17.28;    17.23;    17.23;    16.95;    16.95;    16.75;    17.03;    17.62;    17.90;    17.39;    16.75;    17.16;
2008;summer;    18.47;    18.45;    17.25;    17.16;    17.41;    17.44;    17.46;    17.46;    17.18;    17.40;    16.84;    17.53;    17.69;    18.17;    17.75;    17.23;    17.45;
2009;summer;    17.91;    17.90;    17.26;    16.88;    17.01;    17.14;    17.14;    17.14;    17.15;    17.39;    16.61;    17.70;    17.08;    17.70;    17.20;    16.57;    17.16;
2010;summer;    19.03;    19.00;    17.44;    17.22;    17.65;    18.07;    17.88;    17.88;    17.85;    17.90;    17.22;    18.14;    17.92;    18.51;    18.00;    17.36;    17.79;
2011;summer;    17.87;    17.86;    16.71;    16.51;    16.53;    16.94;    16.68;    16.68;    16.50;    16.64;    16.28;    16.79;    17.12;    17.55;    17.07;    16.47;    16.79;
2012;summer;    17.59;    17.58;    17.58;    17.41;    16.87;    16.67;    16.68;    16.68;    16.83;    17.16;    15.87;    17.38;    17.41;    17.40;    17.11;    16.74;    17.10;
2013;summer;    18.65;    18.63;    17.68;    17.47;    17.66;    17.65;    17.46;    17.46;    17.57;    17.86;    16.86;    18.20;    17.74;    18.38;    17.91;    17.30;    17.68;
2014;summer;    18.12;    18.10;    16.90;    16.70;    16.83;    17.43;    17.20;    17.21;    16.89;    17.10;    17.17;    17.46;    17.29;    17.70;    17.23;    16.60;    17.12;
2015;summer;    18.98;    18.96;    19.12;    18.96;    18.49;    17.32;    17.45;    17.45;    17.86;    18.78;    16.43;    19.36;    18.76;    18.70;    18.48;    18.19;    18.36;
2016;summer;    18.67;    18.65;    17.73;    17.39;    17.63;    17.75;    17.71;    17.71;    17.69;    17.82;    17.07;    18.02;    17.97;    18.71;    18.21;    17.55;    17.77;
2017;summer;    18.28;    18.27;    18.54;    18.20;    17.85;    17.02;    17.25;    17.24;    17.89;    18.42;    16.40;    18.70;    18.18;    18.19;    17.93;    17.58;    17.90;
2018;summer;    20.23;    20.21;    19.27;    18.93;    19.53;    19.20;    19.05;    19.05;    19.33;    19.59;    18.39;    19.80;    19.53;    20.13;    19.66;    19.06;    19.31;
2019;summer;    20.58;    20.56;    19.00;    19.02;    19.08;    19.12;    18.96;    18.96;    19.13;    19.39;    17.89;    19.75;    19.85;    20.18;    19.66;    18.97;    19.25;
2020;summer;    19.26;    19.24;    18.06;    17.60;    18.18;    17.91;    18.08;    18.09;    18.30;    18.63;    17.40;    18.93;    18.53;    19.05;    18.51;    17.81;    18.18;
2021;summer;    19.28;    19.26;    17.45;    17.35;    17.60;    18.44;    18.04;    18.04;    17.80;    17.70;    17.71;    17.94;    18.13;    18.84;    18.20;    17.35;    17.92;
2022;summer;    19.96;    19.94;    19.69;    19.19;    19.53;    18.65;    18.68;    18.68;    19.10;    20.02;    17.65;    20.51;    19.26;    19.77;    19.43;    18.98;    19.23;
2023;summer;    19.12;    19.10;    19.00;    18.56;    18.53;    17.94;    18.06;    18.06;    18.39;    18.94;    17.28;    19.30;    18.74;    19.00;    18.63;    18.16;    18.51;
2024;summer;    19.32;    19.31;    18.78;    18.72;    18.32;    18.02;    17.91;    17.91;    18.09;    18.49;    17.13;    18.67;    19.14;    19.09;    18.74;    18.29;    18.48;
2025;summer;    18.75;    18.73;    18.61;    18.19;    18.35;    17.80;    17.97;    17.97;    18.38;    18.87;    17.30;    19.25;    18.21;    18.74;    18.38;    17.92;    18.28;
