Jahr;summer;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
2005;summer;   230.1;   229.4;   273.1;   336.8;   193.0;   176.5;   227.7;   228.5;   249.6;   175.4;   242.5;   176.6;   274.0;   177.0;   188.7;   203.4;   247.0;
2006;summer;   150.8;   150.1;   301.8;   294.9;   228.4;   194.3;   221.5;   221.4;   230.0;   225.1;   237.3;   238.9;   193.4;   148.6;   172.3;   202.1;   232.5;
2007;summer;   289.4;   288.1;   356.3;   351.8;   317.9;   324.6;   303.9;   304.8;   369.4;   276.1;   354.6;   305.9;   283.1;   286.7;   298.3;   312.9;   324.9;
2008;summer;   160.5;   161.6;   275.7;   286.0;   186.4;   161.6;   258.3;   258.9;   262.1;   212.2;   291.3;   226.9;   213.5;   183.6;   179.7;   174.9;   235.3;
2009;summer;   179.5;   179.9;   295.9;   318.5;   212.1;   176.3;   199.4;   199.7;   220.3;   222.6;   241.4;   237.2;   232.4;   158.2;   178.2;   203.2;   235.2;
2010;summer;   229.9;   231.4;   334.5;   416.5;   267.6;   212.7;   225.1;   224.7;   279.7;   260.5;   240.5;   245.7;   365.6;   199.1;   235.9;   282.1;   292.4;
2011;summer;   328.6;   328.0;   314.0;   345.9;   268.0;   409.9;   276.9;   277.6;   282.2;   249.6;   388.8;   266.2;   322.8;   256.1;   255.3;   254.3;   310.9;
2012;summer;   227.4;   226.3;   304.9;   327.6;   254.2;   182.8;   220.6;   220.6;   252.2;   244.8;   274.5;   239.6;   272.0;   213.9;   229.5;   249.1;   260.8;
2013;summer;   165.2;   165.3;   231.5;   262.3;   148.7;   145.0;   143.7;   144.0;   152.0;   163.2;   173.2;   181.2;   262.5;   124.3;   136.0;   151.3;   187.1;
2014;summer;   208.5;   209.8;   354.6;   315.3;   299.6;   223.8;   237.0;   236.1;   312.6;   292.2;   227.1;   273.0;   221.2;   228.8;   249.4;   276.3;   275.2;
2015;summer;   175.6;   176.3;   175.1;   191.1;   176.3;   168.6;   253.1;   252.9;   254.8;   163.2;   238.2;   129.9;   227.6;   225.5;   214.1;   199.4;   204.5;
2016;summer;   172.1;   172.3;   271.0;   314.1;   193.0;   165.5;   214.0;   214.4;   250.9;   211.8;   253.5;   206.5;   227.9;   139.8;   158.4;   182.7;   231.7;
2017;summer;   321.8;   319.3;   312.9;   336.6;   320.3;   305.4;   312.0;   311.6;   273.4;   255.8;   311.1;   257.8;   287.0;   268.7;   292.7;   324.1;   307.3;
2018;summer;   109.6;   109.6;   164.6;   201.4;    89.8;   110.2;   102.7;   103.2;   115.0;   121.2;   117.5;   158.5;   103.4;    67.9;    76.1;    86.8;   129.4;
2019;summer;   137.1;   136.2;   245.0;   230.7;   157.5;   160.3;   155.9;   156.2;   146.3;   141.9;   197.6;   126.4;   136.6;   122.0;   128.9;   138.0;   174.6;
2020;summer;   161.5;   161.9;   254.5;   349.2;   181.1;   189.2;   204.8;   204.5;   195.8;   150.2;   223.7;   131.6;   215.7;   166.9;   195.1;   231.9;   228.2;
2021;summer;   231.9;   232.3;   389.7;   416.1;   275.1;   217.9;   240.6;   240.3;   297.0;   287.3;   224.2;   292.0;   334.8;   229.3;   263.9;   309.0;   305.1;
2022;summer;   122.7;   122.9;   202.8;   214.1;    87.3;   137.0;   113.5;   113.7;   112.7;    90.3;   139.0;    81.7;   150.0;    96.3;    97.0;    98.0;   142.9;
2023;summer;   203.4;   202.3;   274.5;   326.8;   262.9;   197.2;   289.6;   289.9;   310.0;   225.3;   269.8;   256.3;   227.3;   240.8;   248.4;   258.3;   270.3;
2024;summer;   189.7;   190.2;   265.4;   304.2;   220.1;   183.5;   256.9;   256.6;   252.8;   191.4;   228.5;   216.0;   205.6;   179.3;   196.5;   218.9;   239.9;
2025;summer;   199.3;   199.6;   290.3;   273.4;   178.9;   216.6;   192.0;   192.8;   178.3;   191.0;   265.1;   205.5;   198.5;   151.3;   162.4;   176.9;   218.8;
