Jahr;summer;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1991;summer;   139.9;   140.0;   219.5;   316.5;   140.6;   201.6;   205.3;   206.0;   196.1;   143.7;   265.0;   149.5;   191.6;   140.2;   146.4;   154.2;   210.7;
1992;summer;   155.7;   155.5;   310.9;   319.8;   305.4;   151.0;   192.5;   191.8;   283.1;   264.4;   160.6;   259.0;   234.5;   202.4;   234.8;   275.6;   248.8;
1993;summer;   257.9;   258.9;   309.2;   398.5;   174.2;   264.7;   286.0;   286.5;   218.8;   145.0;   270.8;   165.7;   294.0;   239.2;   242.4;   246.5;   281.0;
1994;summer;   186.1;   186.2;   286.1;   261.0;   190.5;   181.0;   206.2;   206.8;   193.9;   183.7;   232.6;   180.4;   233.7;   191.6;   204.6;   220.9;   220.9;
1995;summer;   192.2;   192.3;   310.6;   371.0;   189.0;   172.8;   167.5;   167.2;   175.9;   195.9;   146.4;   202.8;   310.1;   154.4;   187.1;   228.2;   237.5;
1996;summer;   178.4;   178.3;   312.3;   331.2;   219.4;   144.9;   173.9;   173.4;   258.6;   167.4;   145.2;   174.9;   256.9;   167.4;   197.0;   234.1;   233.6;
1997;summer;   196.3;   197.1;   317.9;   330.5;   186.5;   160.4;   226.9;   227.2;   231.6;   226.7;   238.5;   285.4;   236.8;   190.8;   209.5;   233.1;   247.8;
1998;summer;   198.7;   198.5;   221.0;   275.5;   184.2;   238.1;   279.7;   280.7;   258.9;   155.2;   317.3;   158.2;   269.3;   190.0;   195.5;   202.5;   240.8;
1999;summer;   135.8;   135.9;   288.8;   279.6;   212.6;   176.5;   189.3;   188.5;   206.5;   198.6;   198.5;   224.9;   232.1;   155.4;   191.6;   237.2;   218.8;
2000;summer;   159.7;   159.3;   290.1;   309.6;   252.3;   201.0;   216.9;   216.6;   272.2;   286.0;   165.9;   318.2;   197.2;   166.7;   182.8;   203.1;   242.4;
2001;summer;   155.7;   155.9;   254.6;   293.2;   182.3;   193.3;   232.1;   233.0;   211.5;   181.3;   270.6;   222.4;   226.6;   185.7;   194.2;   204.8;   231.0;
2002;summer;   238.9;   239.1;   320.3;   380.7;   245.2;   236.7;   332.0;   332.8;   302.3;   210.8;   369.3;   203.6;   339.7;   261.9;   250.5;   236.2;   306.9;
2003;summer;   122.2;   122.1;   174.0;   188.4;   143.5;   140.5;   133.0;   133.0;   173.4;   136.0;   151.0;   134.9;   131.4;   115.8;   118.9;   122.7;   153.0;
2004;summer;   215.9;   215.9;   275.4;   293.3;   254.4;   234.6;   280.5;   280.6;   298.6;   260.0;   310.3;   279.2;   226.3;   211.8;   221.3;   233.2;   265.8;
2005;summer;   230.1;   229.4;   273.1;   336.8;   193.0;   176.5;   227.7;   228.5;   249.6;   175.4;   242.5;   176.6;   274.0;   177.0;   188.7;   203.4;   247.0;
2006;summer;   150.8;   150.1;   301.8;   294.9;   228.4;   194.3;   221.5;   221.4;   230.0;   225.1;   237.3;   238.9;   193.4;   148.6;   172.3;   202.1;   232.5;
2007;summer;   289.4;   288.1;   356.3;   351.8;   317.9;   324.6;   303.9;   304.8;   369.4;   276.1;   354.6;   305.9;   283.1;   286.7;   298.3;   312.9;   324.9;
2008;summer;   160.5;   161.6;   275.7;   286.0;   186.4;   161.6;   258.3;   258.9;   262.1;   212.2;   291.3;   226.9;   213.5;   183.6;   179.7;   174.9;   235.3;
2009;summer;   179.5;   179.9;   295.9;   318.5;   212.1;   176.3;   199.4;   199.7;   220.3;   222.6;   241.4;   237.2;   232.4;   158.2;   178.2;   203.2;   235.2;
2010;summer;   229.9;   231.4;   334.5;   416.5;   267.6;   212.7;   225.1;   224.7;   279.7;   260.5;   240.5;   245.7;   365.6;   199.1;   235.9;   282.1;   292.4;
2011;summer;   328.6;   328.0;   314.0;   345.9;   268.0;   409.9;   276.9;   277.6;   282.2;   249.6;   388.8;   266.2;   322.8;   256.1;   255.3;   254.3;   310.9;
2012;summer;   227.4;   226.3;   304.9;   327.6;   254.2;   182.8;   220.6;   220.6;   252.2;   244.8;   274.5;   239.6;   272.0;   213.9;   229.5;   249.1;   260.8;
2013;summer;   165.2;   165.3;   231.5;   262.3;   148.7;   145.0;   143.7;   144.0;   152.0;   163.2;   173.2;   181.2;   262.5;   124.3;   136.0;   151.3;   187.1;
2014;summer;   208.5;   209.8;   354.6;   315.3;   299.6;   223.8;   237.0;   236.1;   312.6;   292.2;   227.1;   273.0;   221.2;   228.8;   249.4;   276.3;   275.2;
2015;summer;   175.6;   176.3;   175.1;   191.1;   176.3;   168.6;   253.1;   252.9;   254.8;   163.2;   238.2;   129.9;   227.6;   225.5;   214.1;   199.4;   204.5;
2016;summer;   172.1;   172.3;   271.0;   314.1;   193.0;   165.5;   214.0;   214.4;   250.9;   211.8;   253.5;   206.5;   227.9;   139.8;   158.4;   182.7;   231.7;
2017;summer;   321.8;   319.3;   312.9;   336.6;   320.3;   305.4;   312.0;   311.6;   273.4;   255.8;   311.1;   257.8;   287.0;   268.7;   292.7;   324.1;   307.3;
2018;summer;   109.6;   109.6;   164.6;   201.4;    89.8;   110.2;   102.7;   103.2;   115.0;   121.2;   117.5;   158.5;   103.4;    67.9;    76.1;    86.8;   129.4;
2019;summer;   137.1;   136.2;   245.0;   230.7;   157.5;   160.3;   155.9;   156.2;   146.3;   141.9;   197.6;   126.4;   136.6;   122.0;   128.9;   138.0;   174.6;
2020;summer;   161.5;   161.9;   254.5;   349.2;   181.1;   189.2;   204.8;   204.5;   195.8;   150.2;   223.7;   131.6;   215.7;   166.9;   195.1;   231.9;   228.2;
