Jahr;spring;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1991;spring;   114.5;   114.3;   152.2;   165.2;    94.3;    92.0;    84.8;    85.1;   104.5;   104.3;   106.8;    95.8;   126.8;    88.8;    90.9;    93.5;   118.2;
1992;spring;   141.5;   141.6;   213.6;   197.0;   170.0;   156.3;   193.8;   194.3;   204.4;   166.7;   187.8;   176.4;   153.2;   134.8;   146.1;   160.3;   180.4;
1993;spring;    99.5;    99.3;   158.2;   153.3;   125.1;    97.0;   128.1;   127.7;   157.9;   147.4;    85.4;   156.9;   129.9;   114.1;   117.8;   122.5;   132.9;
1994;spring;   221.4;   221.2;   337.4;   285.4;   252.9;   190.6;   248.3;   247.8;   272.4;   220.1;   214.9;   241.9;   263.4;   256.5;   262.2;   269.4;   260.5;
1995;spring;   146.6;   146.5;   317.4;   271.4;   224.0;   144.9;   188.6;   188.5;   208.2;   235.5;   168.7;   289.9;   225.1;   143.9;   178.4;   221.9;   219.1;
1996;spring;   121.2;   120.8;   192.2;   189.1;   121.8;   121.0;    99.3;    99.2;   103.8;   120.0;    93.0;   113.3;   149.7;   107.9;   124.1;   144.4;   137.8;
1997;spring;   126.4;   126.4;   155.1;   177.3;   130.4;   150.3;   168.5;   168.6;   182.6;   140.3;   173.8;   151.4;   171.4;   118.9;   129.6;   143.1;   158.1;
1998;spring;   133.0;   133.0;   212.2;   179.1;   204.3;   157.6;   209.3;   208.8;   266.6;   216.3;   190.1;   259.0;   148.7;   132.4;   147.2;   165.8;   189.4;
1999;spring;   131.6;   131.9;   286.3;   275.8;   171.6;   153.6;   152.5;   151.8;   217.5;   176.3;   148.1;   210.4;   154.3;   129.9;   146.4;   167.2;   197.4;
2000;spring;   141.1;   140.8;   265.3;   287.5;   163.4;   123.4;   183.5;   183.2;   196.6;   204.1;   161.2;   221.2;   236.8;   145.7;   168.4;   197.0;   206.9;
2001;spring;   137.2;   137.8;   350.9;   293.7;   211.7;   134.8;   167.7;   167.6;   226.7;   239.3;   159.9;   293.6;   201.1;   139.2;   166.4;   200.5;   223.1;
2002;spring;   150.3;   150.3;   288.8;   238.1;   203.7;   160.5;   170.1;   170.2;   186.0;   183.6;   164.0;   181.8;   152.0;   139.6;   156.8;   178.4;   196.0;
2003;spring;    66.6;    66.3;   155.6;   141.0;   133.5;    89.9;   139.7;   140.2;   164.0;   138.5;   164.4;   146.7;   101.3;    78.9;    98.4;   123.0;   130.0;
2004;spring;    93.0;    93.5;   166.1;   182.1;   166.0;   108.0;   133.3;   133.0;   177.5;   146.9;   109.7;   158.6;   167.6;   116.5;   142.2;   174.6;   150.0;
2005;spring;   119.3;   119.1;   259.3;   232.3;   205.7;   130.5;   169.5;   169.2;   209.3;   191.1;   156.9;   180.1;   131.0;   125.8;   136.4;   149.6;   185.5;
2006;spring;   133.6;   133.4;   346.7;   330.9;   246.0;   160.5;   209.7;   209.7;   271.8;   229.1;   210.9;   261.1;   189.2;   155.4;   193.1;   240.3;   244.8;
2007;spring;   180.5;   179.8;   245.9;   233.9;   197.4;   145.7;   191.1;   190.5;   210.0;   168.6;   148.9;   197.0;   166.9;   179.9;   185.5;   192.6;   198.4;
2008;spring;   151.3;   151.5;   266.4;   249.8;   198.1;   147.4;   157.5;   157.3;   207.6;   208.4;   140.6;   234.6;   184.1;   147.2;   162.7;   182.3;   197.3;
2009;spring;   125.6;   125.3;   253.5;   250.5;   181.8;   114.1;   142.1;   142.0;   178.1;   182.2;   132.3;   164.5;   188.8;   139.1;   164.8;   197.1;   184.0;
2010;spring;   157.8;   158.3;   205.1;   207.2;   169.1;   154.6;   156.2;   156.7;   152.2;   168.5;   156.0;   193.0;   186.5;   179.0;   175.9;   172.0;   176.3;
2011;spring;    80.7;    80.9;   104.2;   142.8;    58.5;    90.1;    65.4;    65.2;    69.5;    61.4;    69.0;    59.5;   105.4;    62.2;    66.1;    71.0;    89.5;
2012;spring;    76.8;    76.9;   143.6;   138.8;   119.7;    63.7;    98.1;    97.9;   120.2;   130.9;    94.5;   160.9;    98.1;    74.4;    81.4;    90.2;   110.5;
2013;spring;   142.2;   142.4;   267.0;   245.4;   225.6;   132.9;   169.9;   170.0;   155.8;   223.4;   150.1;   293.4;   204.8;   184.9;   216.1;   256.9;   201.5;
2014;spring;   134.0;   134.0;   140.6;   177.9;   148.5;   101.0;   170.4;   170.4;   163.9;   107.9;   165.1;   102.2;   172.1;   133.2;   134.2;   135.4;   151.4;
2015;spring;    90.1;    90.4;   208.3;   212.7;   108.5;   123.6;   141.3;   141.5;   143.2;   109.3;   162.9;   134.8;   118.1;    93.0;    99.8;   108.7;   148.6;
2016;spring;    93.1;    93.3;   277.4;   217.6;   179.6;    85.9;   129.9;   130.0;   156.6;   222.2;   125.0;   267.7;   132.8;   101.8;   117.8;   138.6;   166.5;
2017;spring;   114.0;   114.3;   208.5;   218.6;   144.3;   153.3;   138.3;   139.0;   132.3;   113.3;   161.7;   132.3;   132.8;   114.1;   124.3;   137.6;   157.9;
2018;spring;   100.7;   100.5;   169.3;   150.5;   166.5;   116.1;   122.9;   122.6;   155.7;   176.0;   131.8;   222.7;   125.1;   104.0;   122.6;   146.9;   140.6;
2019;spring;   107.5;   107.4;   255.6;   234.9;   206.2;   103.1;   156.0;   156.0;   194.1;   199.9;   175.2;   240.5;   146.4;   116.0;   142.1;   176.0;   182.7;
2020;spring;    75.0;    74.9;   131.7;   133.9;   111.2;    73.6;    90.6;    90.5;   107.2;   113.9;    90.0;   149.9;   104.1;    68.7;    86.2;   109.1;   105.6;
